"Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"153366","Reed","MID","3","Fulham","4.3","a","1","1","0.9","107","2.9","24.88","0","7","0.00","2868","3","4","9","44","1","0","0","5","0","0","9","409","480.4","495.6","266","124.2"
"208706","Bruno Guimarães","MID","3","Newcastle United","5.5","a","2.9","1","1","107","3.3","19.45","0","7","0.00","2727","4","5","12","25","0","0","0","7","0","0","5","438","617.6","631.8","284","153.6"
"128389","Mitrović","STR","4","Fulham","6.6","a","12.5","1","0.4","107","4.5","16.21","0","3","0.00","2010","14","2","7","30","0","0","4","7","0","0","14","324","584.8","216.5","1141","193.1"
"17761","Tarkowski","DEF","2","Everton","4.1","a","4.4","0","0","106","2.8","25.85","0","6","0.00","3420","1","1","9","57","0","0","0","6","0","0","13","632","1019.6","184.7","435","164.2"
"165809","Bernardo","MID","3","Man City","6.7","a","5.9","1","0.2","106","3.1","15.82","0","6","0.00","2196","4","6","7","24","0","0","0","5","0","0","9","427","492.0","515.0","424","143.1"
"172841","Benrahma","MID","3","West Ham","5.5","a","1.1","0","0","106","3","19.27","0","6","0.00","2059","6","3","6","32","0","0","0","0","0","0","5","360","510.0","613.9","653","177.7"
"209243","Sancho","MID","3","Man United","7.1","a","3.3","5","2.6","105","4","14.79","0","8","0.00","1683","6","3","13","18","0","0","0","0","0","0","8","375","390.6","543.9","382","131.7"
"80146","J.Ayew","MID","3","Crystal Palace","5.2","a","0.4","0","0","104","2.7","20.00","0","6","0.00","2708","4","3","8","41","0","0","0","5","0","0","4","332","490.8","465.5","429","138.7"
"92217","Firmino","STR","4","Liverpool","8","a","3.2","0","0.2","104","4.2","13.00","0","2","0.00","1202","11","4","4","17","0","0","0","0","0","0","12","447","542.0","293.2","792","162.8"
"80607","Eriksen","MID","3","Man United","6.2","a","2.5","0","0","103","3.7","16.61","0","7","0.00","2046","1","9","13","25","0","0","0","3","0","0","8","426","420.8","564.3","344","132.8"
"461358","Álvarez","STR","4","Man City","6.1","a","7.7","1","0.2","103","3.3","16.89","0","8","0.00","1448","9","3","5","16","0","0","0","0","0","0","14","393","430.8","271.1","545","124.7"
"216051","Dalot","DEF","2","Man United","4.8","a","6.3","2","4.3","102","3.9","21.25","0","5","0.00","2152","1","2","10","34","0","0","0","6","0","0","19","502","469.4","418.6","272","116.0"
"219847","Havertz","STR","4","Chelsea","7.4","a","3.2","0","0.4","102","2.9","13.78","0","6","0.00","2565","7","1","9","31","0","0","0","5","0","0","13","301","470.2","513.3","1012","199.3"
"152551","Lerma","MID","3","Bournemouth","4.7","a","0.5","1","1.2","101","2.7","21.49","0","6","0.00","3252","5","0","7","67","1","0","0","7","0","0","5","500","616.6","293.6","311","122.1"
"103955","Sterling","MID","3","Chelsea","9.7","d","3.4","2","1.3","101","3.6","10.41","0","6","0.00","1886","6","4","5","27","0","0","0","4","0","0","9","274","388.2","479.8","603","146.8"
"215711","Bailey","MID","3","Aston Villa","4.3","a","2.7","64","66.6","100","3","23.26","0","4","0.00","1964","4","5","8","32","0","0","0","4","0","0","6","242","334.2","439.1","532","130.1"
"215439","Soucek","MID","3","West Ham","5","a","0.6","3","1.9","100","2.8","20.00","0","5","0.00","2811","2","4","8","42","0","0","0","3","0","0","6","364","565.6","230.1","472","127.1"
"447203","Darwin","STR","4","Liverpool","8.6","d","6.4","1","2.3","100","3.4","11.63","0","4","0.00","1684","9","5","7","22","0","0","0","1","1","0","8","310","458.2","336.9","1078","186.0"
"219168","Isak","STR","4","Newcastle United","7","a","12.7","0","0.4","100","4.5","14.29","0","7","0.00","1520","10","2","4","20","0","0","0","3","0","0","18","353","475.0","244.1","693","141.1"
"210156","Awoniyi","STR","4","Nottingham Forest","5.6","a","1.2","0","0.1","100","3.7","17.86","0","6","0.00","1395","10","1","5","29","0","0","0","2","0","0","16","320","375.8","129.6","378","87.8"
"40836","Guaita","GK","1","Crystal Palace","4.4","a","1.4","0","0.1","99","3.7","22.50","0","0","0.00","2430","0","0","6","34","0","0","0","1","0","85","10","484","668.4","0.0","0","66.8"
"115556","Davies","DEF","2","Tottenham","4.7","a","1","0","0","99","3.2","21.06","0","6","0.00","2284","2","3","9","33","0","0","0","4","0","0","3","470","407.8","276.9","172","85.8"
"206325","Zinchenko","DEF","2","Arsenal","5","i","9","0","3.7","99","3.7","19.80","0","3","0.00","2122","1","2","10","28","0","0","0","3","0","0","8","500","405.0","387.7","190","98.3"
"82514","Ream","DEF","2","Fulham","4.5","i","1.2","0","0","98","3","21.78","0","2","0.00","2898","1","0","8","44","0","0","0","2","0","0","12","560","604.2","65.2","76","74.8"
"224024","Paquetá","MID","3","West Ham","5.9","a","0.9","0","0","98","3.5","16.61","0","6","0.00","2154","4","5","6","39","0","0","0","5","0","0","8","395","496.8","446.5","473","142.0"
"84939","Ings","STR","4","West Ham","6.3","a","1.4","0","0","97","2.8","15.40","0","6","0.00","1579","8","2","5","26","0","0","0","4","0","0","13","317","398.4","186.0","604","118.6"
"93264","Dier","DEF","2","Tottenham","5","i","4.8","0","0.5","96","2.9","19.20","0","3","0.00","2816","2","1","9","52","0","0","0","3","0","0","5","569","653.2","112.3","235","100.1"
"445044","Kulusevski","MID","3","Tottenham","7.8","a","3.6","3","6.7","96","3.2","12.31","0","6","0.00","2062","2","7","8","40","0","0","0","2","0","0","5","310","409.2","627.6","514","154.7"
"111478","Veltman","DEF","2","B & H Albion","4.6","a","2.4","0","0.3","95","3.1","20.65","0","4","0.00","2183","1","1","10","29","0","0","0","6","0","0","6","447","406.2","200.8","162","77.2"
"209036","Guéhi","DEF","2","Crystal Palace","4.5","a","2.5","0","0.1","95","2.6","21.11","0","6","0.00","3330","1","0","9","46","1","0","0","8","0","0","2","623","688.2","142.7","205","103.9"
"82403","Zaha","MID","3","Crystal Palace","7.2","i","6.7","2","0.4","95","3.5","13.19","0","3","0.00","2289","7","2","5","34","0","0","2","5","0","0","6","216","465.4","384.8","848","169.4"
"45034","Perišić","DEF","2","Tottenham","5.3","a","14.7","11","8.9","94","2.8","17.74","0","4","0.00","2099","1","8","6","44","0","0","0","6","0","0","6","430","517.8","732.8","394","164.2"
"201658","Tavernier","MID","3","Bournemouth","4.7","i","0.2","0","0.1","94","4.1","20.00","0","1","0.00","1740","5","4","5","37","0","0","0","1","0","0","12","315","459.8","348.4","436","124.2"
"200439","Adams","STR","4","Southampton","6","i","0.8","0","0","94","3.4","15.67","0","3","0.00","1987","5","5","4","41","0","0","0","1","0","0","9","262","340.4","336.4","583","124.6"
"69752","Neto","GK","1","Bournemouth","4.5","a","0.6","0","0","93","3.4","20.67","0","5","0.00","2385","0","0","6","39","0","0","0","4","0","100","9","510","727.6","0.0","0","72.8"
"169528","Robinson","DEF","2","Fulham","4.4","a","0.5","0","0","93","2.7","21.14","0","7","0.00","3088","0","2","9","44","0","0","0","8","0","0","5","558","553.0","417.6","57","102.9"
"97299","Stones","DEF","2","Man City","5.6","a","8.2","0","0.1","93","4","16.61","0","5","0.00","1844","2","2","7","17","1","0","0","2","0","0","13","422","396.0","164.1","135","69.6"
"244723","Mitchell","DEF","2","Crystal Palace","4.4","a","1","0","0.5","93","2.6","21.14","0","6","0.00","2889","0","2","8","40","0","0","0","5","1","0","7","476","470.4","234.0","135","84.3"
"180135","S.Longstaff","MID","3","Newcastle United","4.3","a","1","0","0.5","93","2.8","21.63","0","2","0.00","2514","1","5","13","18","0","0","0","2","0","0","2","347","385.2","372.0","408","116.8"
"126184","Aké","DEF","2","Man City","5","d","2.4","0","0.3","92","3.5","18.40","0","3","0.00","1871","1","0","9","15","0","0","0","2","0","0","9","419","383.4","161.6","150","69.7"
