ID,Player Name,Position,HidPos,Team,Value,Status,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Picked %,Picked Top 100 %,Picked Top 1000 %,Wk 47,Wk 46,Wk 45,Wk 44,Wk 43,Wk 42,Wk 41,Wk 40,Wk 39,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
83,Mee,DEF,2,Burnley,4.9,i,110,3.4,22.45,0,0,0.0,2880,1,2,13,45,0,0,0,7,0,0,6,549,658.8,105.8,362,112.9,0.9,0,0.0,,,,,,,15.0,8.0,0.0,2.0,5.0,5.0,1.0,6.0,10.0,4.0,1.0,1.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,1.0,6.0,1.0,6.0,2.0,1.0,2.0,1.0,6.0
85,Lowton,DEF,2,Burnley,4.2,i,48,2.8,11.43,0,0,0.0,1530,0,1,6,31,0,0,0,2,0,0,1,270,294.2,181.7,15,49.2,0.3,0,0.1,,,,,,,,7.0,0.0,,,,,6.0,6.0,,1.0,,,,,,-1.0,,,,,1.0,0.0,0.0,6.0,4.0,6.0,2.0,1.0,2.0,1.0,6.0
89,Gibson,DEF,2,Burnley,3.9,i,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,2.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Barnes,STR,4,Burnley,6.1,i,61,3.2,10.0,0,0,0.0,1350,6,0,8,21,0,0,0,4,0,0,6,161,226.2,85.1,474,75.9,2.1,0,0.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,6.0,8.0,1.0,2.0,,2.0,1.0,2.0,2.0,2.0,7.0,5.0,13.0
95,Hart,GK,1,Burnley,4.2,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Mané,MID,3,Liverpool,12.1,a,221,6.3,18.26,32,6,5.33,2745,18,10,12,28,0,0,0,3,0,0,27,689,1010.2,826.6,1239,307.7,19.7,3,3.1,6.0,5.0,8.0,2.0,0.0,11.0,2.0,9.0,3.0,13.0,2.0,8.0,5.0,,1.0,3.0,3.0,8.0,11.0,6.0,,6.0,,15.0,2.0,9.0,7.0,12.0,5.0,2.0,12.0,3.0,2.0,15.0,8.0,3.0,13.0,1.0
99,Defour,MID,3,Burnley,5.5,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hendrick,MID,3,Burnley,5.4,u,67,2.8,12.41,0,0,0.0,1930,2,2,10,30,0,0,0,8,0,0,4,197,269.8,213.7,282,76.5,0.1,0,0.0,,,,,,,,,,1.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,,1.0,,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,10.0,2.0,3.0,7.0,,1.0,,
102,Cork,MID,3,Burnley,4.9,i,70,2.3,14.29,0,0,0.0,2614,0,0,12,41,0,0,0,1,0,0,0,301,313.2,198.2,311,82.4,0.2,0,0.0,,,,,,,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,,,1.0,3.0,2.0,2.0,2.0,2.0,3.0
430,Lennon,MID,3,Burnley,4.6,u,15,0.9,3.26,0,0,0.0,485,0,0,0,15,0,0,0,4,0,0,0,51,45.0,37.8,12,9.6,0.1,0,0.0,,,,,,,,,,1.0,,0.0,,,,1.0,1.0,,,,1.0,,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,0.0,2.0,0.0,1.0,1.0
213,Bravo,GK,1,Man City,4.7,d,11,2.8,2.34,0,0,0.0,346,0,0,1,7,0,0,0,0,0,8,0,69,57.8,0.0,0,5.8,0.3,0,0.0,,,,,,,,,,,,,,,,,,2.0,6.0,2.0,,,,,,,1.0,,,,,,,,,,,
495,Peacock-Farrell,GK,1,Burnley,4.3,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Goodridge,MID,3,Burnley,4.5,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Driscoll-Glennon,DEF,2,Burnley,3.9,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Koiki,DEF,2,Burnley,4.0,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Salah,MID,3,Liverpool,12.5,a,233,6.9,18.64,34,6,5.67,2879,19,10,16,26,0,0,0,1,0,0,26,661,1061.2,834.8,2156,405.1,32.4,10,23.6,1.0,5.0,2.0,2.0,18.0,6.0,2.0,11.0,,9.0,2.0,7.0,3.0,16.0,16.0,7.0,6.0,10.0,3.0,3.0,,16.0,13.0,,3.0,,8.0,2.0,7.0,,2.0,3.0,5.0,9.0,6.0,15.0,3.0,12.0
638,Dunne,DEF,2,Burnley,4.0,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Thomas,DEF,2,Burnley,4.0,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Thompson,STR,4,Burnley,4.5,a,1,1.0,0.22,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Jensen,GK,1,Burnley,4.0,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Benson,MID,3,Burnley,4.5,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Zappacosta,DEF,2,Chelsea,4.2,n,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Caballero,GK,1,Chelsea,4.8,a,13,2.6,2.71,6,1,6.0,450,0,0,1,7,0,0,0,0,0,10,0,74,90.2,0.0,0,9.0,0.2,0,0.0,6.0,,,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
114,Pedro,MID,3,Chelsea,6.8,a,32,2.9,4.71,1,1,1.0,659,1,2,2,12,0,0,0,1,0,0,1,127,161.4,227.1,349,73.8,1.1,0,0.0,1.0,,,,,,,1.0,,12.0,5.0,,1.0,2.0,,,,,,1.0,,,,,2.0,,,,,,,3.0,,,,,2.0,2.0
121,Ampadu,MID,3,Chelsea,4.3,n,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Batshuayi,STR,4,Chelsea,6.6,a,28,1.8,4.24,0,0,0.0,224,1,2,0,8,0,0,0,0,0,0,1,59,61.8,42.9,185,28.3,0.5,0,0.0,,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,,,6.0,1.0,1.0,4.0,1.0,,,
462,Kenedy,MID,3,Chelsea,5.2,n,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Tomori,DEF,2,Chelsea,4.2,a,48,3.2,11.43,0,0,0.0,1291,1,0,4,18,0,0,0,3,0,0,7,271,335.4,68.6,79,48.5,1.4,0,0.0,,,,,,,,,,,1.0,,,,,,,,1.0,0.0,7.0,,,,2.0,1.0,9.0,2.0,1.0,5.0,2.0,7.0,0.0,9.0,1.0,,,
545,Guehi,DEF,2,Chelsea,3.9,n,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Anjorin,MID,3,Chelsea,4.5,a,1,1.0,0.22,0,0,0.0,19,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,9,1.0,0.0,0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Broja,STR,4,Chelsea,4.5,a,1,1.0,0.22,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0,0.0,0.0,0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Bate,MID,3,Chelsea,4.5,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Tomkins,DEF,2,Crystal Palace,4.9,i,48,2.7,9.8,0,0,0.0,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121,53.3,0.2,0,0.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,2.0,10.0,2.0,2.0,5.0,5.0,6.0,8.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
128,Kelly,DEF,2,Crystal Palace,4.1,a,64,3.4,15.61,0,0,0.0,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15,41.7,14.7,0,0.3,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,6.0,6.0,1.0,0.0,,,,7.0,6.0,,,6.0,2.0,2.0,6.0
129,Benteke,STR,4,Crystal Palace,5.7,a,42,1.8,7.37,7,3,2.33,1252,2,1,5,18,0,0,0,4,1,0,1,133,231.8,248.3,632,110.9,0.5,0,0.0,,,,-1.0,6.0,2.0,,,2.0,1.0,4.0,2.0,7.0,2.0,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0
130,Wickham,STR,4,Crystal Palace,4.3,n,15,2.5,3.49,0,0,0.0,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64,15.8,1.8,0,0.0,,,,,,,,,,,,,,,1.0,1.0,,7.0,,4.0,,,,,,,,,,,,,,,,,1.0,1.0
132,Hennessey,GK,1,Crystal Palace,4.2,a,7,2.3,1.67,0,0,0.0,270,0,0,0,8,0,0,0,0,0,16,0,58,110.4,0.0,0,11.0,0.6,0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,
140,Dreher,MID,3,Crystal Palace,4.3,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Camarasa,MID,3,Crystal Palace,4.5,u,1,1.0,0.22,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0,0.0,0.1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
556,Henderson,GK,1,Crystal Palace,4.0,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.4,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Woods,DEF,2,Crystal Palace,3.9,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.3,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Pierrick,MID,3,Crystal Palace,4.5,a,2,1.0,0.44,0,0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,7,6.4,21.0,2,2.9,0.0,0,0.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
