"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"744","100052173","Slot","MAN","5","Liverpool","1.5","a","6.3","32","30","118","0","78.67","32","6","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","4","2","5","1","11","9","8","2","9","","9","10","10","13","15","10","","","","","","","","","","","","","","","","","","","","","",""
"399","487838","Hall","DEF","2","Newcastle United","4.7","i","4.4","23","29.9","102","3.8","21.70","0","0","0.00","2188","0","7","8","31","0","0","0","3","0","0","11","443","561.6","561.2","128","125.3","","","","","","","","","","","","1","9","0","1","2","4","6","2","12","6","7","15","1","1","2","1","2","8","4","1","5","2","1","2","1","1","5"
"275","222018","Johnson","DEF","2","Ipswich Town","3.8","a","1.9","34","29.4","30","1.3","7.89","-2","3","-0.67","1346","1","2","0","39","0","0","0","3","1","0","2","23","276.6","177.2","92","54.6","","","1","","-3","0","12","1","2","","1","0","","2","","1","-1","","1","1","2","1","1","1","","","","1","2","","","0","","1","","","3","0"
"109","507433","Valdimarsson","GK","1","Brentford","3.9","a","2.9","34","27.9","2","1","0.51","0","0","0.00","144","0","0","0","2","0","0","0","0","0","3","0","14","21.4","0.1","0","2.1","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","",""
"366","141746","B.Fernandes","MID","3","Man United","8.4","a","13.7","32","26.9","174","4.8","20.71","15","5","3.00","3017","8","12","10","47","0","0","0","3","2","0","28","810","1017.8","1407.7","587","300.8","7","1","2","","4","1","2","3","2","17","9","10","10","2","1","3","8","4","7","","-2","2","9","9","2","9","2","17","10","2","5","3","-2","3","5","2","2","3"
"3","226597","Gabriel","DEF","2","Arsenal","6.1","i","12.2","30","26.3","117","4.2","19.18","0","0","0.00","2363","3","2","10","22","0","0","0","4","0","0","9","459","584.6","208.8","287","108.2","","","","","","","","","1","5","2","7","2","6","2","7","1","1","2","2","6","4","9","","","9","6","2","2","1","1","2","1","7","15","2","6","6"
"742","100000084","Moyes","MAN","5","Everton","0.5","a","5.3","29","25.6","137","0","274.00","43","4","10.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","19","10","9","5","","","19","9","","4","4","4","5","8","22","19","","","","","","","","","","","","","","","","","","","","","",""
"350","477424","Gvardiol","DEF","2","Man City","6.5","a","38.6","26","23.2","153","4.1","23.54","31","6","5.17","3278","5","0","13","41","0","0","0","2","0","0","15","623","847.0","501.7","497","185.0","8","2","6","8","","7","1","9","6","1","2","7","1","6","0","8","6","1","2","6","2","0","7","1","6","","0","1","7","9","10","1","9","1","1","2","2","7"
"44","199798","Konsa","DEF","2","Aston Villa","4.5","a","9.5","28","21","103","3","22.89","30","6","5.00","2936","2","0","8","45","0","0","0","1","0","0","10","448","532.8","123.9","166","82.4","1","15","5","6","","3","7","1","6","","7","0","2","","1","2","1","8","2","1","1","2","1","8","2","1","","1","0","2","","1","1","9","1","2","1","2"
"461","245719","Harwood-Bellis","DEF","2","Southampton","3.9","i","4.1","16","20.3","55","1.6","14.10","10","5","2.00","2824","1","0","3","65","0","0","0","9","0","0","2","268","727.0","218.3","252","119.9","","1","6","0","1","2","0","1","2","1","1","1","","","1","1","1","1","-1","0","2","8","0","2","","1","1","0","6","2","0","1","7","2","1","0","2","1"
"251","244042","Muniz","STR","4","Fulham","5.5","i","1.4","13","20.2","86","2.8","15.64","0","0","0.00","943","8","1","2","17","0","0","0","1","0","0","14","349","352.4","95.3","508","95.4","","","","","","","1","7","5","7","1","9","1","1","8","1","1","1","1","1","7","2","7","1","2","1","1","1","0","1","","6","1","4","1","2","2","2"
"309","157668","Winks","MID","3","Leicester City","4.3","a","4.7","13","18.7","40","1.8","9.30","0","0","0.00","1536","0","2","0","34","0","0","0","4","0","0","0","282","272.8","319.6","37","63.2","","","","","","","","","","1","1","1","","","2","1","2","2","2","2","2","1","","","","","1","2","2","4","3","","2","2","2","1","2","2"
"18","462424","Saliba","DEF","2","Arsenal","6.4","i","25.8","16","16.5","130","3.7","20.31","10","5","2.00","3039","2","0","12","29","0","0","0","2","1","0","14","564","672.6","150.1","116","94.2","","1","1","1","","7","2","2","2","9","2","8","2","6","2","9","","2","2","2","7","2","6","9","15","1","7","2","2","","-3","2","0","1","5","2","6","6"
"129","475168","João Pedro","STR","4","B & H Albion","5.5","a","8.5","22","15.4","126","4.7","22.91","-1","1","-1.00","1946","10","6","6","28","0","0","0","4","1","0","26","516","567.0","456.0","644","166.0","","","","","","-1","13","1","2","1","9","8","12","1","1","1","2","1","9","9","2","2","2","2","5","2","12","11","","","","","","1","","8","8","2"
"447","60689","Wood","STR","4","Nottingham Forest","7.2","a","30.8","15","14.1","200","5.6","27.78","24","6","4.00","2958","20","3","15","37","0","0","0","1","0","0","41","744","838.4","320.0","900","205.6","2","2","8","2","2","8","2","","","2","2","2","5","9","17","2","12","9","8","12","2","2","2","8","2","9","1","2","7","13","7","8","2","8","2","9","1","9"
"211","247348","Muñoz","DEF","2","Crystal Palace","5.2","a","19.3","13","14","142","3.8","27.31","21","6","3.50","3229","4","6","11","46","0","0","0","10","0","0","9","480","816.6","634.2","524","197.6","2","1","11","1","","6","-1","8","2","","6","4","13","1","11","4","6","6","2","2","6","","1","7","6","11","1","1","3","5","1","1","1","6","1","1","1","4"
