ID,Player Name,Position,HidPos,Team,Value,Status,Picked %,Picked Top 100 %,Picked Top 1000 %,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Wk 38,Wk 37,Wk 36,Wk 35,Wk 34,Wk 33,Wk 32,Wk 31,Wk 30,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
333,Krafth,DEF,2,Newcastle United,4.2,a,0.2,0,0.1,45,2.8,10.71,18,4,4.5,1286,1,1,5,27,0,0,0,4,0,0,0,222,243.6,87.7,88,41.9,6.0,6.0,6.0,0.0,,,,,1.0,,5.0,6.0,6.0,1.0,1.0,0.0,,,,1.0,,,,,,0.0,2.0,,,,,,,2.0,2.0,,,
339,Almirón,MID,3,Newcastle United,5.6,a,0.5,0,0.0,97,2.9,17.32,13,6,2.17,2426,4,2,5,48,0,0,0,3,0,0,8,367,452.6,446.3,425,132.5,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,,,1.0,2.0,2.0,15.0,2.0,3.0,9.0,4.0,,2.0,1.0,2.0,2.0,1.0,9.0,,3.0,1.0,2.0,3.0,1.0,1.0,,2.0,1.0,4.0
480,Sean Longstaff,MID,3,Newcastle United,4.6,a,0.1,0,0.0,41,1.9,8.91,10,6,1.67,1405,0,1,2,26,0,0,0,2,0,0,1,168,176.2,182.8,148,50.5,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,,,,,,,,,,,2.0,2.0,,,3.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,,1.0,,,1.0
346,Fleck,MID,3,Sheffield Utd,5.6,a,0.1,0,0.0,70,2.3,12.5,14,6,2.33,2573,0,3,5,47,0,0,0,4,0,0,1,353,346.2,527.7,152,102.7,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,1.0,5.0,2.0,,2.0,1.0,2.0,5.0,6.0,3.0,1.0,1.0,,1.0,5.0,2.0,2.0,2.0,2.0,,,,,1.0,,2.0,2.0
352,Jack Robinson,DEF,2,Sheffield Utd,4.2,a,0.1,0,0.0,32,2.9,7.62,19,3,6.33,875,0,2,2,11,0,0,0,3,0,0,3,149,132.8,25.5,45,20.3,6.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,,,,1.0,,,,5.0,1.0,2.0,,
400,Bergwijn,MID,3,Tottenham,7.0,a,0.4,0,0.0,55,2.6,7.86,14,3,4.67,1202,1,4,5,15,0,0,0,3,0,0,2,129,161.4,190.9,180,52.8,1.0,9.0,,,4.0,,1.0,,,1.0,,,,,,1.0,2.0,2.0,4.0,5.0,,6.0,,1.0,,2.0,2.0,3.0,2.0,3.0,,,,3.0,,1.0,1.0,1.0
402,Tanganga,DEF,2,Tottenham,4.9,i,0.1,0,0.0,14,2.3,2.86,6,2,3.0,487,0,0,2,8,0,0,0,2,0,0,0,81,68.8,29.5,40,13.8,,1.0,5.0,,,,,,0.0,6.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
453,Ruddy,GK,1,Wolverhampton,4.3,a,0.2,0,0.0,4,2.0,0.93,3,1,3.0,91,0,0,0,1,0,0,0,0,0,3,0,19,25.4,0.0,0,2.5,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Vitinha,MID,3,Wolverhampton,4.7,a,0.0,0,0.0,26,1.4,5.53,8,5,1.6,509,0,1,0,8,0,0,0,0,0,0,0,112,80.0,179.0,72,33.3,,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,4.0,,1.0,,1.0,,,,,,1.0,,1.0
563,Ait Nouri,DEF,2,Wolverhampton,5.0,a,0.2,0,0.0,54,2.6,10.8,6,5,1.2,1400,1,1,3,23,0,0,0,1,0,0,6,264,243.2,234.5,196,67.4,0.0,2.0,,2.0,2.0,0.0,6.0,7.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,6.0,1.0,2.0,1.0,0.0,,,1.0,,2.0,2.0,15.0,,,,,,
