"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"355","223094","Haaland","STR","4","Man City","14.3","a","73.6","99","99","217","7","15.17","53","6","8.83","2553","27","8","11","25","0","0","1","1","0","0","29","792","1094.6","367.1","1581","303.3","2","15","21","5","","10","8","","2","","2","6","5","10","13","5","1","","","","","","","2","7","7","16","1","16","8","2","2","6","6","20","4","2","13"
"19","223340","Saka","MID","3","Arsenal","8.8","d","49.2","98","97.2","226","6.5","25.68","35","6","5.83","2922","16","12","16","27","0","0","0","4","0","0","29","776","1093.8","1319.8","1342","375.7","","2","10","12","9","2","10","","3","","2","7","10","15","15","9","10","3","7","2","1","3","2","5","8","8","5","2","6","5","","9","13","6","4","8","3","10"
"131","204214","Estupiñan","DEF","2","B & H Albion","4.7","i","14.5","97","95.6","57","3","12.13","1","1","1.00","1242","2","3","3","26","1","0","0","4","0","0","7","291","350.8","382.6","156","89.0","","","","","","1","1","","1","","6","0","1","1","0","1","0","8","6","6","","","","","","","","","","","","-2","6","","2","1","11","7"
"28","224068","Turner","GK","1","Nottingham Forest","3.7","a","8.6","97","92.9","41","2.5","11.08","0","0","0.00","1530","0","0","2","28","0","0","0","2","0","55","0","278","379.6","0.0","0","37.9","","","","","","","","-1","","","","","","","","","1","1","3","3","2","2","3","","","","","","2","1","6","3","1","2","5","3","2","2"
"396","176297","Rashford","MID","3","Man United","8.4","a","9.5","82","85.4","108","3.3","12.86","4","3","1.33","2264","7","3","7","37","0","0","0","2","0","0","0","330","453.0","358.6","672","148.3","1","1","","","","2","2","1","3","","8","7","2","2","2","3","7","7","7","5","1","0","1","1","2","8","3","","2","2","2","2","3","2","7","7","2","3"
"195","172850","Chilwell","DEF","2","Chelsea","5.4","a","4.7","72","73.5","24","1.8","4.44","4","1","4.00","752","0","2","1","14","0","0","0","5","0","0","2","123","128.4","212.8","139","48.0","","","","","","4","","","","","","1","","2","2","0","-1","1","","","","","","","","","","","","","","","0","0","1","6","1","7"
"373","141746","B.Fernandes","MID","3","Man United","8.5","a","14.6","68","66.4","166","4.7","19.53","42","5","8.40","3118","10","9","7","52","0","0","1","9","0","0","24","729","1101.6","1662.0","748","351.2","0","5","","4","18","15","9","8","2","","11","5","4","2","2","6","5","2","2","1","1","","1","0","2","6","3","11","1","7","2","2","10","1","2","12","1","3"
"135","475168","João Pedro","STR","4","B & H Albion","5.2","a","6.1","60","57.1","104","3.4","20.00","18","6","3.00","2037","9","3","5","38","0","0","1","2","0","0","12","406","624.2","578.6","932","213.6","2","5","5","2","2","2","1","2","","","","","","","","8","2","2","2","16","2","1","2","2","4","13","1","1","1","2","2","4","1","7","2","1","0","7"
"5","226597","Gabriel","DEF","2","Arsenal","5.4","a","28.3","57","56.8","149","4.1","27.59","28","7","4.00","3042","3","1","16","26","1","0","0","4","0","0","8","676","674.6","121.9","379","117.8","1","7","7","1","12","0","6","6","6","","1","6","2","6","12","-1","2","17","1","1","10","6","2","1","2","6","2","2","","1","8","6","1","5","2","","1","1"
"12","444145","Martinelli","MID","3","Arsenal","7.5","a","4.2","41","46.3","118","3.4","15.73","8","7","1.14","2010","6","5","10","23","0","0","0","1","0","0","6","404","500.4","717.1","791","200.4","2","1","1","1","2","1","1","1","1","","","11","6","3","3","10","3","14","5","2","2","3","2","7","3","2","2","2","3","2","6","","","1","5","2","3","5"
"263","111234","Pickford","GK","1","Everton","4.8","a","16.3","52","44.9","153","4","31.88","40","7","5.71","3420","0","0","13","51","1","0","0","5","0","121","22","734","969.0","43.4","0","101.3","1","8","3","10","18","0","8","3","2","","3","0","4","3","1","2","10","9","2","2","2","6","10","7","7","1","2","2","5","2","9","1","2","3","1","2","0","2"
"473","82691","Baldock","DEF","2","Sheffield Utd","3.8","i","4","38","44.5","21","1.6","5.53","0","0","0.00","968","0","2","0","21","0","0","0","4","0","0","2","117","173.6","102.6","21","29.6","","","","","","","","","","","1","1","","","","","","","1","0","2","","","","1","5","2","4","0","","","","","","1","1","","2"
"602","476369","Kaboré","DEF","2","Luton Town","4","i","1.9","46","42.6","34","1.4","8.50","1","1","1.00","1727","0","3","0","39","1","0","0","7","0","0","3","236","326.6","253.0","62","64.0","","","","","1","","2","1","-1","1","4","1","","0","","","","","0","","1","","","0","1","","1","8","0","1","","3","5","2","1","1","","1"
"20","462424","Saliba","DEF","2","Arsenal","5.9","a","39.1","38","38.4","164","4.3","27.80","33","7","4.71","3420","2","1","18","29","0","0","0","4","0","0","13","781","697.2","152.1","140","99.1","2","9","6","1","14","1","5","7","7","","2","6","2","6","12","1","2","6","0","1","2","7","2","1","1","6","9","2","7","1","7","6","1","6","2","1","8","5"
"108","446008","Mbeumo","MID","3","Brentford","6.8","a","6.7","43","37.2","127","5.1","18.68","30","6","5.00","1957","9","7","5","31","0","0","0","2","0","0","12","364","554.2","572.1","576","170.1","2","12","3","1","9","3","7","1","1","1","","","","","","","","","","","","","","6","5","2","2","5","13","14","2","2","1","2","8","2","16","7"
"60","178301","Watkins","STR","4","Aston Villa","8.9","a","35.9","36","34.6","228","6.2","25.62","27","6","4.50","3222","19","18","7","56","0","0","0","4","0","0","29","752","1024.6","588.5","1420","302.7","2","5","2","2","9","7","13","","1","2","2","13","9","13","2","18","7","1","8","2","2","9","2","1","11","5","6","2","2","11","5","23","9","5","2","5","5","5"
"33","433979","Archer","STR","4","Sheffield Utd","4.2","a","3.4","32","32.8","82","2.7","19.52","12","7","1.71","1829","4","3","2","50","0","0","0","2","0","0","9","241","266.0","309.3","353","92.8","2","2","2","2","3","1","4","","","","","","","","7","1","1","1","1","5","8","2","2","2","1","2","2","9","1","2","2","2","2","1","12","","0",""
"308","118748","Salah","MID","3","Liverpool","13.4","a","24","34","30.5","211","6.6","15.75","27","7","3.86","2531","18","12","8","30","0","0","2","2","0","0","24","621","1033.8","892.2","1531","346.0","6","2","13","1","3","2","8","1","7","","1","","","11","","","","","16","3","7","3","13","3","5","5","16","2","8","16","15","1","10","10","8","5","5","5"
"143","451340","Mitoma","MID","3","B & H Albion","6.4","i","11.8","29","30.1","74","3.9","11.56","0","0","0.00","1485","3","7","1","27","0","0","0","4","0","0","7","252","327.6","375.1","636","134.0","","","","","","","","","","","","","","9","2","","","","","","2","1","1","5","1","","1","6","2","2","2","1","14","2","5","1","12","5"
"597","202641","Onana","GK","1","Man United","5","a","15.5","21","26.8","133","3.5","26.60","21","7","3.00","3420","0","0","9","58","0","0","0","5","0","149","10","741","1167.4","33.2","0","120.2","7","5","2","4","1","2","2","2","3","","11","2","2","3","4","8","1","2","1","1","2","10","1","2","3","9","8","6","2","3","2","2","7","2","0","0","2","9"
"398","106760","Shaw","DEF","2","Man United","5.2","i","2.7","28","25.8","31","2.6","5.96","0","0","0.00","960","0","1","4","13","0","0","0","6","0","0","0","195","197.2","199.3","29","42.6","","","","","","","","","","","","","","0","1","6","3","","","","0","5","1","1","2","6","","","","","","","","","","","1","5"
"519","487053","Udogie","DEF","2","Tottenham","4.9","i","5.2","27","24","79","2.8","16.12","0","1","0.00","2391","2","3","5","43","0","0","0","5","1","0","8","402","534.8","357.9","279","117.3","","","","","","0","2","2","2","1","6","2","","","2","4","10","1","2","0","","5","9","1","0","1","","-4","","1","6","1","0","2","5","12","5","1"
"538","487837","Mubama","STR","4","West Ham","4.1","a","4.5","18","23.7","5","1","1.22","0","0","0.00","75","0","0","0","2","0","0","0","0","0","0","0","14","0.2","2.4","5","0.8","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","1","","","","","","","","","","","",""
"211","517052","N.Jackson","STR","4","Chelsea","7","a","17.9","20","20.7","142","4.1","20.29","49","8","6.13","2801","14","6","9","48","0","0","0","10","0","0","12","479","783.8","498.6","1098","237.4","2","7","16","8","2","14","2","2","2","","8","6","","5","1","1","","","5","2","1","6","1","2","5","2","5","16","2","1","6","","1","1","1","7","1","1"
"160","241231","Beyer","DEF","2","Burnley","3.9","i","0.8","17","18.7","30","2","7.69","0","0","0.00","1234","0","1","2","23","0","0","0","6","0","0","4","236","330.8","46.1","35","41.3","","","","","","","","","","","","","","","","","","","1","1","5","1","2","","11","0","1","2","","","","2","1","3","-1","","","1"
"353","209244","Foden","MID","3","Man City","8.5","a","43.3","18","17.7","230","6.6","27.06","47","5","9.40","2860","19","8","14","27","0","0","0","2","0","0","31","866","1154.6","1157.7","1172","348.8","15","11","5","","16","","","20","3","","2","15","11","5","3","20","6","2","12","8","","5","2","3","9","2","2","6","7","2","2","2","11","2","5","4","9","3"
"230","101982","Johnstone","GK","1","Crystal Palace","4.3","i","1.3","13","17","68","3.4","15.81","0","0","0.00","1796","0","0","6","27","0","0","0","1","0","41","7","310","321.4","0.0","0","32.2","","","","","","","","","","","2","1","6","3","","","","","","","","","2","1","2","1","1","9","1","1","9","9","8","1","1","2","2","6"
"808","85633","Sels","GK","1","Nottingham Forest","4.5","a","0.2","22","16.6","34","2.1","7.56","10","6","1.67","1440","0","0","1","27","0","0","0","1","0","37","1","206","289.0","10.0","0","29.9","2","1","3","2","1","1","2","2","2","2","3","2","0","8","1","2","","","","","","","","","","","","","","","","","","","","","",""
"509","212319","Richarlison","MID","3","Tottenham","6.8","i","2.5","14","14.6","122","4.4","17.94","12","3","4.00","1481","11","4","7","18","0","0","0","3","0","0","7","305","560.6","208.4","758","152.1","","","9","3","","","","1","1","1","","","","2","2","15","7","8","8","1","8","9","15","1","1","","","","3","6","1","5","1","8","1","0","3","2"
"226","232413","Eze","MID","3","Crystal Palace","6","a","5.4","18","13.1","136","5","22.67","53","6","8.83","2054","11","5","8","28","0","0","0","3","0","0","11","490","740.4","810.0","737","228.9","18","8","3","","14","10","2","2","5","","1","8","","","","","14","2","9","2","1","1","","","","1","6","4","","","","6","3","1","8","2","2","3"
"206","225796","James","DEF","2","Chelsea","5.3","s","2.7","18","12.6","11","1.1","2.08","2","2","1.00","416","0","2","0","13","0","0","0","0","2","0","0","106","137.4","172.1","61","37.1","","2","","","","","","","","","","","","","","","","","","","","","1","1","","-3","4","2","1","1","","","","","","","","2"
"490","538207","Osula","STR","4","Sheffield Utd","4.2","a","0.8","17","11.7","25","1.2","5.95","2","2","1.00","778","0","1","0","23","0","0","0","4","0","0","0","27","27.0","24.9","200","24.4","","","","1","1","","","1","","","1","1","1","1","","1","1","4","2","1","","1","0","2","0","1","1","","","","","","","","","1","2","1"
"14","184029","Ødegaard","MID","3","Arsenal","8.6","a","18","14","11.2","186","5.3","21.63","41","7","5.86","3098","8","11","19","23","0","0","0","2","0","0","26","703","910.4","1499.1","757","316.9","10","3","3","2","20","3","3","11","3","","2","10","2","14","10","2","2","3","2","2","8","3","2","5","10","3","","","","2","3","17","1","3","7","2","11","2"
"405","220237","Botman","DEF","2","Newcastle United","4.5","i","4.3","8","10.5","51","3","11.33","0","0","0.00","1375","2","2","3","29","1","0","0","2","0","0","4","298","386.8","62.9","104","55.5","","","","","","","","","","","1","6","-2","1","3","0","2","1","6","1","1","1","","","","","","","","","","","12","9","","2","2","5"
"504","172780","Maddison","MID","3","Tottenham","7.8","a","10","6","9.5","117","4.2","15.00","17","7","2.43","2137","4","11","7","31","0","0","0","5","0","0","9","495","630.4","979.5","605","221.4","6","6","1","3","","1","2","2","2","2","9","5","","2","1","5","7","","","","","","","","","","","1","6","9","6","2","9","1","7","10","3","9"
"101","118342","Flekken","GK","1","Brentford","4.7","a","4.5","10","6.7","119","3.2","25.32","25","6","4.17","3285","0","1","7","63","0","0","0","3","0","115","12","685","921.0","40.3","0","96.2","1","3","10","2","2","7","1","11","3","2","2","2","0","6","7","10","1","1","2","0","","2","3","2","2","3","3","0","6","6","","2","2","1","2","4","6","2"
"6","219847","Havertz","MID","3","Arsenal","7.6","a","11.9","5","6.5","180","4.9","23.68","48","7","6.86","2627","13","10","16","22","0","0","0","11","0","0","15","515","763.2","613.4","1027","240.2","6","6","5","13","17","1","14","5","3","","7","14","14","12","3","4","1","3","2","","1","8","2","7","1","6","1","1","3","1","4","7","0","1","2","1","2","2"
"197","460028","Colwill","DEF","2","Chelsea","4.6","a","2.1","5","6.3","65","2.8","14.13","0","0","0.00","1794","1","1","5","26","0","0","0","2","0","0","4","355","394.6","113.2","163","67.2","","","","","","","","","","","","1","","2","1","","","7","1","1","2","6","1","1","7","0","","0","1","1","2","12","2","6","2","6","1","2"
"290","169187","Alexander-Arnold","DEF","2","Liverpool","8.4","a","10.3","4","4.8","122","4.4","14.52","19","7","2.71","2153","3","5","8","28","0","0","0","6","0","0","19","590","601.8","1027.5","237","186.8","6","1","0","1","10","1","","","","","","","","","4","1","1","","0","8","5","9","4","12","13","8","7","2","5","6","1","1","","","12","1","2","1"
"368","97299","Stones","DEF","2","Man City","5.3","a","3.1","2","4.7","53","3.3","10.00","1","1","1.00","1061","1","0","5","9","0","0","0","2","0","0","3","239","188.4","128.4","70","38.7","","","1","","","","1","","","","10","2","6","5","7","","2","","","1","","1","1","1","","","","6","6","2","1","","","","","","",""
