ID,Min,PPG,Player Name,team_code,season,New In Team,Position,New In League,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
107265,0,0.0,Gunn,17,2025-26,True,1.0,True,5,,,3.4,1.7,2.1,810.0,405.0,570.0,,,
108413,2100,2.0,Hughes,31,2025-26,False,3.0,False,7,,3116.0,2.0,2.0,1.8333333333333333,2100.0,1993.0,1602.6666666666667,2100.0,1993.0,1602.6666666666667
109345,161,0.9,March,36,2025-26,False,3.0,False,8,,1831.0,0.9,3.25,3.6666666666666665,161.0,358.0,1145.0,161.0,358.0,1145.0
109533,2108,2.5,Emerson,21,2025-26,False,2.0,False,8,,3348.0,2.5,2.4,2.1999999999999997,2108.0,2623.0,2187.6666666666665,2108.0,2623.0,2187.6666666666665
109646,1403,3.2,Tosin,8,2025-26,False,2.0,False,6,,2262.0,3.2,3.25,2.8333333333333335,1403.0,1509.5,1701.0,1403.0,1403.0,1403.0
109745,2790,3.4,Arrizabalaga,3,2025-26,True,1.0,False,7,,,3.4,1.7,2.5,2790.0,1395.0,1785.0,,,
110735,885,2.8,Webster,36,2025-26,False,2.0,False,6,,1831.0,2.8,2.25,2.433333333333333,885.0,1013.5,1336.6666666666667,885.0,1013.5,1336.6666666666667
111234,3420,4.2,Pickford,11,2025-26,False,1.0,False,9,,2426.0,4.2,4.1,3.866666666666667,3420.0,3420.0,3390.0,3420.0,3420.0,3390.0
111317,941,1.8,Brooks,91,2025-26,False,3.0,False,5,,2790.0,1.8,1.8,1.4666666666666668,941.0,606.0,460.6666666666667,941.0,606.0,460.6666666666667
111452,0,0.0,Odysseas,4,2025-26,False,1.0,False,2,,299.0,0.0,1.2,1.2,0.0,225.0,225.0,0.0,0.0,0.0
111478,1694,2.8,Veltman,36,2025-26,False,2.0,False,5,,1831.0,2.8,2.3,2.566666666666667,1694.0,1636.5,1818.6666666666667,1694.0,1636.5,1818.6666666666667
111773,334,1.4,Krafth,4,2025-26,False,2.0,False,6,,299.0,1.4,1.65,1.4333333333333333,334.0,621.5,414.6666666666667,334.0,621.5,414.6666666666667
113564,0,0.0,Byram,2,2025-26,True,2.0,True,5,,,1.3,1.6,1.0666666666666667,1023.0,1157.5,771.6666666666666,,,
114243,2356,4.5,J.Murphy,4,2025-26,False,3.0,False,8,,299.0,4.5,4.199999999999999,3.533333333333333,2356.0,1770.0,1590.0,2356.0,1770.0,1590.0
114283,710,1.9,Grealish,43,2025-26,False,3.0,False,6,,2218.0,1.9,2.2,2.9,710.0,854.0,1253.0,710.0,854.0,1253.0
115556,1329,1.6,Davies,6,2025-26,False,2.0,False,9,,2199.0,1.6,1.8,2.266666666666667,1329.0,1207.0,1566.0,1329.0,1207.0,1566.0
116216,2546,4.0,Trossard,3,2025-26,False,3.0,False,6,,1575.0,4.0,4.049999999999999,4.133333333333333,2546.0,2089.5,2138.6666666666665,2546.0,2089.5,2138.6666666666665
116535,2508,4.0,A.Becker,14,2025-26,False,1.0,False,7,,103.0,4.0,3.9,4.066666666666666,2508.0,2514.0,2786.0,2508.0,2514.0,2786.0
118748,3374,9.1,M.Salah,14,2025-26,False,3.0,False,8,,103.0,9.1,7.85,7.333333333333333,3374.0,2952.5,3065.0,3374.0,2952.5,3065.0
119471,2935,3.5,Schär,4,2025-26,False,2.0,False,7,,299.0,3.5,3.45,3.6,2935.0,2995.0,3065.6666666666665,2935.0,2995.0,3065.6666666666665
121160,2320,4.3,Ederson M.,43,2025-26,False,1.0,False,8,,2218.0,4.3,3.8499999999999996,3.733333333333333,2320.0,2552.5,2751.6666666666665,2320.0,2552.5,2751.6666666666665
121709,0,0.0,Benitez,31,2025-26,True,1.0,True,0,,,,,,,,,,,
122074,0,0.0,Bettinelli,43,2025-26,True,1.0,False,6,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
122798,2479,2.8,Robertson,14,2025-26,False,2.0,False,9,,103.0,2.8,3.05,3.233333333333333,2479.0,2084.0,2249.0,2479.0,2084.0,2249.0
122806,2217,2.3,McGinn,7,2025-26,False,3.0,False,6,,1613.0,2.3,2.8499999999999996,2.766666666666667,2217.0,2608.5,2636.3333333333335,2217.0,2608.5,2636.3333333333335
124165,0,0.0,Roberts,56,2025-26,True,3.0,True,1,,,1.0,1.0,1.0,24.0,24.0,24.0,,,
126184,677,2.5,Aké,43,2025-26,False,2.0,False,9,,2218.0,2.5,2.95,3.1333333333333333,677.0,1358.0,1529.0,677.0,1358.0,1529.0
128295,2820,3.1,Nørgaard,3,2025-26,True,3.0,False,4,,,3.1,2.75,2.9,2820.0,2662.0,2362.3333333333335,,,
135720,842,1.6,Danso,6,2025-26,False,2.0,False,2,,2199.0,1.6,1.55,1.55,842.0,558.5,558.5,842.0,842.0,842.0
138001,1,1.0,King,39,2025-26,False,1.0,False,2,,2587.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5
141746,3017,4.8,B.Fernandes,1,2025-26,False,3.0,False,6,,2836.0,4.8,4.75,4.766666666666667,3017.0,3067.5,3150.6666666666665,3017.0,3067.5,3150.6666666666665
149065,2610,3.2,José Sá,39,2025-26,False,1.0,False,4,,2587.0,3.2,3.1500000000000004,3.466666666666667,2610.0,2823.5,2962.3333333333335,2610.0,2823.5,2962.3333333333335
149484,1119,3.4,Mings,7,2025-26,False,2.0,False,9,,1613.0,3.4,1.7,2.3666666666666667,1119.0,574.5,1433.0,1119.0,574.5,1433.0
149519,71,0.5,Cornet,21,2025-26,True,3.0,False,4,,,0.5,1.2,1.1333333333333333,71.0,90.0,137.33333333333334,109.0,170.5,170.5
151589,0,0.0,Dendoncker,7,2025-26,False,3.0,False,7,,1613.0,0.0,1.25,1.3333333333333333,0.0,59.0,338.3333333333333,0.0,59.0,338.3333333333333
152551,2270,1.8,Lerma,31,2025-26,False,3.0,False,5,,3116.0,1.8,2.05,2.2666666666666666,2270.0,2334.5,2640.3333333333335,2270.0,2334.5,2334.5
153127,0,0.0,Hayden,4,2025-26,False,3.0,False,7,,299.0,0.0,0.0,0.6666666666666666,0.0,0.0,333.3333333333333,0.0,0.0,333.3333333333333
153133,2981,4.1,Iwobi,54,2025-26,False,3.0,False,9,,2673.0,4.1,3.65,3.533333333333333,2981.0,2656.0,2897.0,2981.0,2656.0,2656.0
153366,100,0.8,Reed,54,2025-26,False,3.0,False,5,,2673.0,0.8,1.25,1.8,100.0,708.5,1428.3333333333333,100.0,708.5,1428.3333333333333
153682,1148,3.1,Wilson,54,2025-26,False,3.0,False,6,,2673.0,3.1,2.9000000000000004,2.6999999999999997,1148.0,1375.5,1278.6666666666667,1148.0,1375.5,1278.6666666666667
154296,0,0.0,J.Palhinha,6,2025-26,True,3.0,True,2,,,2.8,2.5999999999999996,2.5999999999999996,2698.0,2903.0,2903.0,,,
154561,3420,3.7,Raya,3,2025-26,False,1.0,False,4,,1575.0,3.7,3.95,4.1000000000000005,3420.0,3150.0,3240.0,3420.0,3150.0,3150.0
154566,2199,4.0,Solanke,6,2025-26,False,4.0,False,7,,2199.0,4.0,4.299999999999999,4.166666666666667,2199.0,2762.0,2796.3333333333335,2199.0,2199.0,2199.0
155405,1231,1.4,Phillips,43,2025-26,True,3.0,False,5,,,1.4,1.1,1.1333333333333333,1231.0,812.5,638.6666666666666,291.0,291.0,291.0
155408,2976,2.3,Cook,91,2025-26,False,3.0,False,7,,2790.0,2.3,2.3,2.1333333333333333,2976.0,2881.5,2491.6666666666665,2976.0,2881.5,2491.6666666666665
155503,0,0.0,Woodman,14,2025-26,True,1.0,True,4,,,2.2,1.1,0.7333333333333334,360.0,180.0,120.0,,,
156074,0,0.0,Holding,31,2025-26,False,2.0,False,9,,3116.0,0.0,0.0,0.5,0.0,0.0,187.33333333333334,0.0,0.0,0.0
156689,2004,2.5,Andreas,54,2025-26,False,3.0,False,9,,2673.0,2.5,2.9499999999999997,3.1999999999999997,2004.0,2307.5,2437.0,2004.0,2307.5,2437.0
158499,2114,2.6,Christie,91,2025-26,False,3.0,False,3,,2790.0,2.6,2.5,2.3333333333333335,2114.0,2511.0,2282.3333333333335,2114.0,2511.0,2282.3333333333335
158534,0,0.0,Walker-Peters,21,2025-26,True,2.0,False,7,,,1.6,1.7000000000000002,2.0000000000000004,2918.0,2784.0,2732.6666666666665,,,
158983,259,1.1,Endo,14,2025-26,False,3.0,False,2,,103.0,1.1,1.35,1.35,259.0,986.5,986.5,259.0,986.5,986.5
159506,2996,3.7,Aina,17,2025-26,False,2.0,False,4,,3330.0,3.7,2.85,3.0,2996.0,2343.0,2450.0,2996.0,2343.0,2343.0
